Processes: 407 total, 2 running, 1 stuck, 404 sleeping, 2456 threads 
2021/10/12 23:10:17
Load Avg: 2.18, 2.36, 2.43 
CPU usage: 6.49% user, 18.83% sys, 74.67% idle 
SharedLibs: 179M resident, 34M data, 7968K linkedit.
MemRegions: 173935 total, 1375M resident, 93M private, 991M shared.
PhysMem: 7472M used (1639M wired), 69M unused.
VM: 142T vsize, 3272M framework vsize, 2493065(0) swapins, 2877040(0) swapouts.
Networks: packets: 3112051/3026M in, 2024636/279M out.
Disks: 4352116/147G read, 975924/54G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG CMPRS PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW   MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
7890  trustd           0.0  00:00.26 2     1   37     4097K 0B   3648K 7890 1    sleeping *0[34]      0.00000 0.00000    89  998      73    375      90       3254     885      604       119     1     0.0   0      0      _spotlight             N/A    N/A   N/A   N/A   N/A   N/A  
7882  FinderSync       0.0  00:00.52 5     1   191    42M   0B   165M  7882 1    sleeping *0[11]      0.00000 0.00000    501 38368    325   3015     1171     10687    6813     3870      3430    1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7881  QuickLookUIServi 0.0  00:00.04 3     1   137    5745K 0B   3216K 7881 1    sleeping  0[22]      0.00000 0.00000    501 2646     120   853      202      1685     1871     755       154     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7878  com.apple.appkit 0.0  00:00.43 3     1   211    16M   0B   13M   7878 1    sleeping  0[67]      0.00000 0.00000    501 12585    203   10245    4014     13961    10158    3384      1359    2     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7871  com.apple.dt.Xco 0.0  00:00.01 2     1   15     2593K 0B   2384K 7871 1    sleeping *0[4]       0.00000 0.00000    501 676      91    102      37       721      193      43        24      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7869  GPUToolsAgent    0.0  00:00.09 2     1   46     10M   0B   9040K 7869 7858 sleeping *0[1]       0.00000 0.00000    501 2453     465   268      93       1490     393      565       595     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7867  com.apple.dt.SKA 0.0  00:00.16 2     1   52     8418K 0B   6384K 7867 1    sleeping *0[2]       0.00000 0.00000    501 2924     237   804      172      7404     2141     1526      326     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7866  com.apple.dt.Xco 0.0  00:00.01 2     1   29     2913K 0B   2656K 7866 1    sleeping *0[1]       0.00000 0.00000    501 761      100   119      38       874      246      87        15      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7865  spindump_agent   0.0  00:00.01 2     1   42     1985K 0B   1680K 7865 1    sleeping *0[2]       0.00000 0.00000    501 493      67    186      47       582      366      98        1       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7864  spindump         0.0  00:00.03 2     1   30     2449K 0B   2208K 7864 1    sleeping *0[1]       0.00000 0.00000    0   728      75    121      39       1061     281      152       61      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7863  ContainerMetadat 0.0  00:00.14 2     1   49     5073K 0B   4704K 7863 1    sleeping  0[0]       0.00000 0.00000    501 1399     89    625      84       1934     1183     605       14      1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7861  com.apple.dt.Xco 0.0  00:00.00 2     1   12     1441K 0B   1248K 7861 1    sleeping *0[1]       0.00000 0.00000    501 389      53    88       31       388      179      44        32      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7860  CategoriesServic 0.0  00:00.01 2     1   35     2626K 0B   2240K 7860 1    sleeping *0[2]       0.00000 0.00000    501 1050     61    153      54       706      349      123       16      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7859  osanalyticshelpe 0.0  00:00.04 2     1   39     2177K 0B   1840K 7859 1    sleeping *0[3]       0.00000 0.00000    0   875      60    153      44       1433     331      224       26      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7858  Xcode            0.0  00:04.56 8     1   331    147M  0B   120M  7858 1    sleeping  0[23]      0.00000 0.00000    501 42387    2919  15570    4179     89448    25114    23096     11994   5     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7840  com.apple.Safari 0.0  00:01.26 2     1   45     3234K 0B   2288K 7840 1    sleeping *0[7]       0.00000 0.00000    501 3799     79    250      78       5727     521      1743      1128    4     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7834  CategoriesServic 0.0  00:00.03 2     1   35     2625K 0B   2256K 7834 1    sleeping  0[0]       0.00000 0.00000    501 1182     61    158      54       818      360      206       14      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7833  UsageTrackingAge 0.0  00:00.12 2     1   56     3554K 0B   3184K 7833 1    sleeping  0[0]       0.00000 0.00000    501 1247     82    381      67       1657     789      773       103     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7832  ScreenTimeWidget 0.0  00:00.63 6     5/1 117    43M   0B   18M   7832 1    sleeping *3[13]      0.00000 0.00000    501 8764     642   3724     1101     11299    3909     4225      4204    0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7806  iconservicesd    0.0  00:00.05 2     1   35     2369K 0B   1200K 7806 1    sleeping *0[13]      0.00000 0.00000    240 1117     61    149      46       795      246      148       5       0     0.0   0      0      _iconservices          N/A    N/A   N/A   N/A   N/A   N/A  
7805  iconservicesagen 0.0  00:00.49 2     1   75     27M   0B   2304K 7805 1    sleeping *0[29]      0.00000 0.00000    501 9553     116   2331     1116     31636    1955     2911      461     2     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7768  ocspd            0.0  00:00.04 2     1   34     2225K 0B   1952K 7768 1    sleeping *0[1]       0.00000 0.00000    0   788      54    111      32       611      216      153       41      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7764  QuickLookSatelli 0.0  00:00.86 2     1   47     22M   0B   22M   7764 1    sleeping *0[2]       0.00000 0.00000    501 4697     101   332      97       2957     686      1535      50      2     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7763  com.apple.quickl 0.0  00:00.32 3     1   79     4850K 0B   4352K 7763 1    sleeping *0[2]       0.00000 0.00000    501 2357     109   1151     399      6044     1770     1687      307     2     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
